aX,aY,aZ,gX,gY,gZ
-1.40,9.95,18.50,-0.55,-2.85,0.19
-1.62,10.19,15.71,-0.50,-3.08,0.21
-2.38,9.15,12.99,-0.43,-3.23,0.20
-3.66,8.27,9.64,-0.48,-3.34,-0.02
-4.05,8.62,5.43,-0.52,-3.33,-0.25
-4.10,9.33,0.88,-0.81,-3.06,-0.36
-3.69,10.27,-2.10,-1.07,-2.72,-0.35
-3.54,11.77,-6.21,-1.04,-2.47,-0.32
-3.78,12.44,-11.55,-0.59,-2.17,-0.25
-4.15,12.16,-16.19,-0.07,-1.67,-0.18
-4.56,11.57,-19.62,0.20,-0.96,-0.10
-4.48,10.81,-21.08,0.17,-0.18,0.02
-4.14,9.11,-21.24,-0.01,0.61,0.11
-3.75,7.99,-19.92,-0.23,1.40,0.08
-3.30,7.58,-17.17,-0.34,2.10,0.00
-2.82,7.41,-13.81,-0.41,2.67,-0.05
-2.99,7.17,-9.85,-0.52,3.16,-0.03
-3.67,7.11,-6.15,-0.52,3.55,-0.04
-4.24,6.90,-2.71,-0.37,3.83,-0.08
-5.07,7.35,0.31,-0.24,4.03,-0.09
-6.05,7.80,3.24,-0.05,4.23,-0.14
-6.74,8.27,6.57,0.12,4.35,-0.17
-7.44,8.41,10.11,0.23,4.40,-0.20
-7.59,8.39,13.45,0.24,4.35,-0.24
-7.24,9.75,16.95,0.15,4.25,-0.24
-6.80,11.15,20.92,0.20,4.13,-0.18
-6.37,11.95,24.26,0.34,3.88,-0.09
-6.06,11.99,27.51,0.41,3.59,-0.02
-5.74,12.73,30.02,0.43,3.25,0.02
-5.28,13.47,31.95,0.56,2.84,0.06
-4.88,13.66,33.38,0.73,2.43,0.12
-4.36,13.71,34.23,0.84,2.00,0.15
-3.59,13.66,35.05,0.85,1.55,0.18
-3.02,13.78,35.74,0.73,1.07,0.25
-2.78,13.97,35.77,0.59,0.54,0.36
-2.97,13.64,34.72,0.51,0.01,0.46
-3.02,13.21,33.57,0.47,-0.45,0.54
-3.39,12.44,32.29,0.50,-0.90,0.62
-3.57,11.02,30.74,0.52,-1.38,0.66
-3.84,9.64,28.98,0.49,-1.88,0.60
-4.25,8.74,26.59,0.38,-2.34,0.51
-4.73,8.36,23.53,0.18,-2.70,0.42
-5.07,8.20,21.04,-0.03,-2.90,0.33
-5.04,8.50,19.20,-0.13,-3.11,0.22
-4.95,8.72,17.57,-0.11,-3.32,0.16
-4.74,8.37,15.46,-0.16,-3.50,0.10
-4.33,7.93,13.28,-0.32,-3.60,0.00
-3.71,8.40,11.81,-0.42,-3.70,-0.09
-2.97,8.27,10.04,-0.47,-3.84,-0.17
-2.70,8.18,7.70,-0.61,-3.97,-0.25
-3.12,8.41,4.84,-0.61,-4.04,-0.38
-3.58,9.53,0.73,-0.54,-3.99,-0.43
-3.96,10.26,-3.75,-0.32,-3.75,-0.35
-3.84,9.44,-6.72,-0.19,-3.35,-0.29
-3.19,9.64,-9.56,-0.12,-2.96,-0.29
-2.49,9.76,-12.90,-0.02,-2.53,-0.28
-2.29,10.29,-15.76,0.11,-2.01,-0.21
-2.73,10.45,-18.23,0.19,-1.37,-0.11
-3.23,10.49,-19.81,0.28,-0.61,-0.05
-3.28,9.95,-19.75,0.34,0.15,0.05
-3.05,8.60,-18.99,0.24,0.80,0.11
-2.66,7.76,-17.58,0.06,1.42,0.10
-2.27,7.49,-15.11,-0.07,2.02,0.09
-2.44,7.22,-12.08,-0.14,2.56,0.08
-3.38,6.91,-8.98,-0.15,3.04,0.05
-4.18,6.78,-5.49,-0.08,3.45,-0.08
-4.77,6.93,-2.29,-0.03,3.74,-0.19
-5.36,7.07,0.02,-0.01,3.92,-0.28
-6.25,7.04,2.22,-0.00,4.09,-0.28
-7.09,7.35,5.58,-0.00,4.25,-0.30
-7.47,8.11,9.50,0.11,4.31,-0.37
-7.72,8.56,12.78,0.19,4.28,-0.36
-7.84,8.50,15.12,0.17,4.23,-0.37
-8.02,8.68,16.83,0.16,4.17,-0.39
-8.38,9.67,19.12,0.29,4.09,-0.45
-7.95,11.50,22.92,0.57,3.92,-0.53
-6.83,13.23,26.82,0.85,3.61,-0.54
-5.71,14.75,30.37,0.95,3.18,-0.49
-4.48,16.30,33.01,1.01,2.69,-0.38
-3.37,16.91,34.14,1.11,2.16,-0.21
-2.66,16.69,34.90,1.26,1.63,-0.01
-2.20,15.36,35.48,1.35,1.09,0.16
-1.89,13.92,35.36,1.23,0.54,0.25
-1.63,12.79,34.78,1.01,-0.02,0.29
-1.51,11.27,33.73,0.73,-0.60,0.31
-1.65,10.13,32.63,0.49,-1.10,0.23
-2.17,9.38,30.81,0.28,-1.56,0.13
-2.66,9.28,28.75,0.11,-1.96,0.06
-3.58,8.85,25.98,0.00,-2.42,0.08
-4.64,8.55,22.63,-0.08,-2.82,0.09
-5.25,7.99,18.78,-0.10,-3.17,0.05
-5.55,7.84,14.52,-0.17,-3.41,-0.03
-4.53,7.87,9.83,-0.29,-3.50,-0.14
-4.13,9.08,4.50,-0.29,-3.51,-0.26
-4.18,10.50,-1.50,-0.03,-3.38,-0.31
0.21,10.06,15.38,-0.18,0.07,0.12
0.10,10.58,16.31,-0.20,-0.04,0.11
0.25,11.20,17.71,-0.09,-0.09,0.07
0.21,11.71,19.19,0.18,-0.21,-0.01
0.55,12.11,20.64,0.46,-0.39,-0.08
0.70,12.35,21.78,0.66,-0.64,-0.08
0.89,12.07,22.42,0.66,-0.95,-0.01
0.60,11.56,22.47,0.43,-1.34,0.11
0.09,11.66,21.73,0.05,-1.73,0.26
-0.64,11.47,20.10,-0.20,-2.07,0.36
-1.27,11.22,18.56,-0.25,-2.31,0.40
-1.41,10.56,17.02,-0.16,-2.46,0.37
-1.52,9.78,15.26,-0.04,-2.54,0.26
-1.58,9.28,14.36,0.02,-2.59,0.16
-1.49,8.86,13.42,-0.08,-2.69,0.10
-1.92,8.05,11.87,-0.35,-2.89,0.09
-2.48,7.90,9.23,-0.77,-3.08,0.07
-3.33,8.62,5.45,-1.10,-3.12,0.05
-3.79,9.04,1.40,-1.03,-2.97,0.00
-3.87,8.51,-1.99,-0.56,-2.68,-0.16
-3.57,8.31,-4.59,-0.07,-2.29,-0.38
-3.60,8.95,-7.60,0.23,-1.90,-0.51
-4.12,9.27,-10.33,0.31,-1.54,-0.48
-4.60,9.22,-13.35,0.14,-1.12,-0.36
-5.15,9.33,-16.21,-0.20,-0.64,-0.22
-5.41,9.48,-18.14,-0.43,-0.02,-0.03
-5.81,9.14,-19.09,-0.49,0.66,0.07
-5.87,9.15,-18.66,-0.48,1.39,0.09
-5.55,9.33,-16.92,-0.46,2.02,0.12
-5.48,9.05,-14.56,-0.49,2.55,0.21
-5.34,8.67,-11.92,-0.60,3.00,0.29
-5.50,8.64,-9.02,-0.69,3.44,0.37
-5.61,8.52,-5.28,-0.62,3.85,0.39
-5.86,7.92,-1.11,-0.50,4.17,0.41
-6.41,7.01,2.79,-0.37,4.39,0.35
-6.31,6.96,7.40,-0.27,4.53,0.24
-6.73,6.85,11.64,-0.13,4.55,0.14
-7.19,6.95,16.03,-0.08,4.48,0.05
-7.14,7.38,19.95,-0.13,4.34,-0.01
-7.03,8.43,23.41,-0.19,4.08,-0.00
-6.49,9.08,26.41,-0.18,3.79,-0.00
-5.79,10.22,29.66,-0.14,3.50,-0.03
-5.03,11.58,32.73,-0.05,3.17,-0.04
-4.26,12.70,35.65,0.04,2.77,0.01
-3.65,13.39,37.15,0.19,2.28,0.07
-3.00,13.83,37.95,0.34,1.79,0.16
-2.14,13.75,38.69,0.46,1.28,0.27
-1.74,13.05,39.19,0.53,0.69,0.34
-1.46,12.82,39.22,0.48,0.05,0.38
-1.69,13.05,37.87,0.55,-0.57,0.43
-1.99,12.40,35.94,0.70,-1.11,0.47
-2.11,11.14,34.27,0.83,-1.61,0.49
-2.66,9.68,32.11,0.83,-2.09,0.48
-2.99,8.67,30.25,0.67,-2.56,0.41
-3.58,8.05,27.36,0.41,-3.05,0.36
-4.49,8.00,24.11,0.17,-3.41,0.31
-5.04,7.89,21.22,0.07,-3.66,0.23
-5.10,7.34,18.96,0.02,-3.88,0.11
-4.80,7.25,16.22,-0.24,-4.07,0.00
-4.29,7.42,13.34,-0.52,-4.23,-0.09
-4.11,7.22,10.30,-0.64,-4.35,-0.21
-4.85,7.66,6.82,-0.59,-4.42,-0.37
-6.10,7.84,2.06,-0.36,-4.39,-0.54
