aX,aY,aZ,gX,gY,gZ
1.67,-2.69,23.98,0.15,-0.11,-0.69
1.83,-1.99,23.79,0.01,-0.43,-0.78
1.83,-0.74,23.21,-0.13,-0.75,-0.83
2.12,0.31,22.69,-0.20,-1.10,-0.81
1.87,0.99,21.69,-0.28,-1.46,-0.77
1.76,1.77,20.52,-0.26,-1.81,-0.77
1.42,1.65,19.11,-0.11,-2.15,-0.75
0.87,1.44,17.95,-0.05,-2.42,-0.74
0.32,1.60,16.86,-0.04,-2.58,-0.72
-0.21,1.52,16.65,-0.01,-2.73,-0.67
-0.83,1.80,17.70,-0.18,-3.03,-0.54
-1.80,2.95,16.83,-0.45,-3.56,-0.38
-3.15,4.10,13.48,-0.31,-4.08,-0.24
-4.45,3.48,10.68,0.08,-4.48,-0.16
-5.76,1.87,8.44,0.27,-4.70,-0.14
-7.66,1.21,6.62,0.31,-4.81,-0.17
-8.73,0.62,4.97,0.42,-4.87,-0.18
-9.73,-0.08,3.17,0.54,-4.85,-0.23
-10.75,0.11,0.85,0.69,-4.99,-0.35
-10.09,1.69,-0.14,0.43,-5.17,-0.31
-10.74,2.58,-4.57,0.11,-5.52,-0.04
-11.27,2.57,-9.32,-0.17,-5.55,0.22
-13.17,0.90,-13.91,-0.26,-5.43,0.32
-14.11,0.69,-17.52,-0.39,-5.18,0.20
-14.94,2.26,-22.63,-0.37,-4.89,-0.01
-14.43,4.00,-27.50,-0.14,-4.43,-0.15
-13.46,5.68,-31.15,0.10,-3.72,-0.15
-12.23,6.00,-33.75,0.17,-2.90,0.05
-11.87,4.46,-35.44,0.16,-2.06,0.27
-11.72,2.29,-35.99,0.11,-1.09,0.33
-11.79,1.10,-35.20,0.06,-0.09,0.22
-11.62,1.28,-33.07,0.08,0.82,-0.02
-11.32,2.51,-30.62,0.12,1.55,-0.15
-10.80,3.29,-27.42,0.07,2.29,-0.20
-9.80,4.48,-24.03,0.00,2.90,-0.14
-9.21,4.82,-20.55,0.00,3.39,0.00
-9.25,3.79,-16.95,0.16,3.71,0.12
-9.61,2.36,-14.03,0.32,3.89,0.11
-9.82,0.92,-11.99,0.45,4.01,0.02
-10.01,0.50,-10.16,0.45,4.17,-0.12
-9.68,1.39,-8.12,0.44,4.35,-0.20
-9.32,1.69,-6.18,0.44,4.49,-0.15
-8.74,1.72,-3.92,0.38,4.62,-0.06
-8.57,1.40,-2.11,0.28,4.67,0.08
-8.38,0.89,-0.47,0.26,4.69,0.16
-8.04,0.60,0.95,0.29,4.68,0.18
-7.58,1.02,2.68,0.39,4.64,0.12
-7.09,1.28,4.52,0.51,4.55,0.13
-6.61,0.79,6.16,0.56,4.49,0.16
-5.97,0.18,8.21,0.50,4.42,0.17
-5.48,-0.20,10.12,0.37,4.34,0.19
-4.98,-0.55,12.26,0.28,4.19,0.18
-4.34,-0.04,14.34,0.20,3.98,0.17
-3.21,0.49,16.34,0.15,3.69,0.21
-2.40,0.86,18.25,0.08,3.39,0.23
-1.65,1.31,20.10,0.02,3.11,0.28
-0.53,0.76,22.18,0.00,2.81,0.34
0.29,0.04,24.27,-0.04,2.42,0.41
0.62,-0.71,25.72,-0.13,1.96,0.48
0.66,-1.43,26.63,-0.22,1.47,0.51
0.66,-1.91,27.33,-0.33,0.94,0.48
0.43,-2.28,26.96,-0.44,0.38,0.42
0.40,-2.51,26.33,-0.47,-0.16,0.29
0.22,-2.32,25.33,-0.49,-0.69,0.13
-0.14,-2.35,23.36,-0.41,-1.24,-0.08
-0.65,-2.10,21.30,-0.31,-1.67,-0.36
-0.84,-1.63,19.70,-0.33,-1.98,-0.58
-0.92,-0.23,18.71,-0.44,-2.19,-0.71
-0.13,1.57,18.48,-0.57,-2.47,-0.64
0.22,1.87,16.61,-0.68,-2.91,-0.41
0.14,1.40,14.82,-0.66,-3.22,-0.34
-0.39,1.75,13.16,-0.51,-3.56,-0.38
-1.40,1.56,11.17,-0.26,-3.91,-0.43
-1.21,2.64,8.85,-0.11,-4.23,-0.47
-1.62,2.42,5.31,0.10,-4.61,-0.27
-2.28,0.79,0.84,0.17,-4.85,-0.02
-3.12,-0.69,-4.87,0.10,-5.07,0.12
-5.41,-1.51,-11.33,0.14,-5.11,0.08
-7.48,-0.33,-18.13,0.27,-4.94,-0.10
-8.54,0.92,-24.53,0.36,-4.43,-0.27
-7.91,4.02,-28.24,0.43,-3.70,-0.36
-7.01,4.70,-30.64,0.52,-2.82,-0.25
-4.80,4.64,-29.64,0.40,-1.75,-0.12
