aX,aY,aZ,gX,gY,gZ
16.51,1.13,24.47,-0.27,0.08,-0.08
16.41,1.38,22.56,-0.54,0.11,-0.01
16.38,2.21,21.77,-0.68,0.24,0.14
16.19,1.91,22.19,-0.66,0.28,0.36
15.46,1.00,23.05,-0.65,0.21,0.52
14.81,0.68,23.60,-0.79,0.15,0.67
14.56,0.19,23.96,-0.98,0.09,0.78
13.90,1.28,23.29,-1.01,-0.14,0.82
12.78,2.51,22.76,-0.71,-0.24,0.95
11.43,2.30,22.45,-0.32,-0.37,1.02
9.95,2.06,22.98,-0.17,-0.48,1.08
8.40,1.10,24.14,-0.24,-0.68,1.11
6.12,-0.62,23.76,-0.50,-0.91,1.02
3.75,-2.73,21.87,-0.91,-1.00,0.76
0.26,-3.19,18.10,-1.44,-0.83,0.34
-2.88,-1.03,14.95,-1.60,-0.39,-0.04
-5.13,2.92,14.84,-1.10,0.06,-0.14
-9.15,4.36,15.59,-0.30,0.18,-0.00
-11.07,4.95,19.06,0.37,0.05,0.13
-11.94,3.31,21.15,0.38,-0.47,0.26
-13.43,2.82,19.49,-0.28,-0.80,0.26
-13.67,3.44,17.71,-0.57,-0.82,0.14
-16.33,3.33,14.28,-0.46,-0.59,0.01
-17.31,2.98,15.77,-0.08,-0.06,-0.15
-17.18,3.45,19.02,0.25,0.02,-0.21
-17.48,4.37,20.00,0.45,-0.19,-0.07
-18.10,3.33,17.89,0.45,-0.33,0.14
-17.75,2.11,17.13,0.39,-0.25,0.18
-17.39,1.76,15.99,0.20,-0.15,0.18
-17.30,1.84,15.52,0.04,0.07,0.22
-17.13,0.92,16.05,0.09,0.36,0.20
-15.91,0.47,16.20,0.13,0.63,0.16
-15.51,1.90,17.17,0.17,0.33,0.09
-15.40,1.36,17.56,0.34,0.48,0.18
-14.33,0.57,18.03,0.29,0.42,0.13
-13.92,0.83,17.71,0.19,0.38,0.04
-12.57,0.00,18.08,0.20,0.38,-0.06
-11.21,-1.59,17.50,0.14,0.42,-0.31
-8.32,-1.46,18.40,0.04,0.53,-0.58
-3.33,-0.53,20.66,-0.05,0.42,-0.77
1.61,0.72,21.15,-0.31,0.20,-0.70
4.33,1.13,21.42,-0.25,0.17,-0.62
7.84,1.19,21.12,0.23,0.17,-0.82
10.93,2.14,20.67,0.79,0.28,-0.99
13.56,2.61,20.70,1.31,0.39,-1.12
15.99,4.79,22.06,1.52,0.47,-1.08
17.42,5.19,24.17,1.31,0.40,-0.75
5.56,0.11,19.03,-0.11,0.32,-0.27
5.88,0.43,19.23,-0.15,0.29,-0.27
6.33,0.84,19.56,-0.15,0.28,-0.24
7.23,0.71,20.13,-0.07,0.27,-0.20
8.10,0.00,20.99,-0.01,0.25,-0.23
9.57,-0.50,21.94,-0.06,0.19,-0.35
10.51,-0.60,22.51,-0.25,0.05,-0.47
10.81,-0.38,22.24,-0.44,-0.10,-0.55
10.79,0.21,22.31,-0.58,-0.19,-0.54
10.92,0.88,22.76,-0.41,-0.35,-0.46
10.48,1.36,23.63,-0.13,-0.59,-0.37
8.94,1.49,23.66,0.06,-0.83,-0.26
7.24,1.15,23.26,0.08,-0.94,-0.14
5.19,0.41,22.42,0.13,-1.08,-0.02
2.90,-0.28,19.87,-0.09,-0.99,0.06
1.17,0.34,19.52,-0.33,-0.66,0.13
-0.32,0.31,21.02,-0.26,-0.44,0.21
-2.22,-0.79,22.06,0.27,-0.53,0.14
-4.78,-2.35,22.37,0.79,-0.75,-0.14
-7.01,-2.15,20.82,0.65,-0.84,-0.36
-8.78,0.19,17.88,0.30,-0.62,-0.44
-9.84,2.79,16.89,0.37,-0.33,-0.37
-10.69,4.12,15.86,0.68,-0.08,-0.24
-11.77,5.00,15.79,0.89,0.22,0.03
-13.47,2.21,16.69,1.03,0.47,0.16
-14.45,0.58,17.81,0.84,0.68,-0.04
-13.54,1.18,19.84,0.35,0.94,-0.20
-13.16,2.44,22.11,-0.13,1.02,-0.19
-13.01,2.84,23.41,-0.49,0.99,-0.05
-13.34,1.95,23.93,-0.54,0.73,0.05
-12.82,1.54,23.10,-0.46,0.48,0.14
-13.04,0.60,21.83,-0.37,0.22,0.28
-13.30,-0.25,20.39,-0.27,0.05,0.37
-12.96,-0.32,20.00,-0.17,-0.13,0.45
-12.66,-1.43,18.29,0.01,-0.38,0.45
-12.56,-1.11,15.89,0.03,-0.40,0.35
-11.64,0.30,14.78,0.03,-0.18,0.39
-10.50,1.56,15.03,0.22,0.13,0.48
-8.50,2.04,16.73,0.51,0.31,0.64
-6.10,0.82,17.47,0.77,0.31,0.71
-3.58,0.11,17.36,0.67,0.30,0.66
-0.73,1.22,17.25,0.29,0.32,0.62
1.14,2.26,16.71,0.04,0.38,0.61
2.99,4.51,16.30,-0.06,0.54,0.65
4.86,4.81,18.10,0.08,0.88,0.94
6.37,2.56,20.46,0.59,1.05,1.09
8.29,0.30,23.09,0.87,1.04,1.12
11.13,-1.65,24.07,0.88,0.90,0.98
13.03,-2.06,23.71,0.49,0.71,0.79
14.68,-0.85,23.23,0.15,0.57,0.64
16.36,0.51,22.66,0.10,0.48,0.70
17.47,-0.59,22.96,0.42,0.60,0.88
19.08,-4.11,24.36,0.89,0.64,0.91
20.81,-7.30,25.71,0.99,0.61,0.68
22.00,-8.45,27.47,0.65,0.46,0.32
22.03,-7.20,27.75,0.16,0.10,-0.06
20.85,-5.08,26.88,-0.20,-0.31,-0.33
18.99,-2.90,25.22,-0.41,-0.73,-0.44
16.75,-1.75,22.69,-0.46,-0.95,-0.43
15.35,-1.59,20.77,-0.31,-0.97,-0.47
14.15,-1.61,20.50,-0.22,-0.93,-0.69
13.55,1.09,21.15,-0.33,-0.92,-0.85
12.72,3.71,22.39,-0.37,-1.01,-0.73
11.30,3.77,23.52,-0.27,-1.29,-0.49
10.59,2.85,23.47,-0.24,-1.66,-0.29
8.61,0.71,22.65,-0.39,-1.96,-0.20
5.61,-0.41,19.49,-0.77,-1.98,-0.25
1.30,0.31,17.04,-1.13,-1.62,-0.25
-2.56,1.50,14.69,-0.92,-0.95,-0.25
-3.57,2.95,15.81,-0.20,-0.21,-0.30
-4.43,1.66,19.29,0.55,0.19,-0.17
-6.14,-1.25,20.97,0.89,0.14,-0.19
-7.86,-2.87,21.94,0.67,-0.17,-0.31
-10.16,-2.92,19.78,-0.16,-0.44,-0.47
-11.82,-0.99,17.30,-0.71,-0.40,-0.58
-12.41,2.71,15.90,-0.64,-0.08,-0.50
-12.94,4.68,15.51,-0.02,0.31,-0.27
-13.97,4.47,16.03,0.87,0.64,-0.20
-14.48,4.16,18.18,1.65,0.90,-0.19
-14.84,2.53,20.52,1.94,0.89,-0.32
-13.81,2.45,22.19,1.41,0.79,-0.43
-12.23,3.74,24.02,0.36,0.65,-0.33
-11.03,5.63,24.17,-0.59,0.41,-0.12
-10.78,6.28,22.85,-0.88,0.23,0.21
-10.90,5.14,22.05,-0.74,0.16,0.43
-11.38,3.51,21.32,-0.55,0.11,0.51
-10.93,2.19,20.69,-0.43,0.10,0.45
-11.33,1.57,19.72,-0.44,0.12,0.39
-12.34,1.04,18.19,-0.50,0.23,0.27
-12.89,1.98,17.03,-0.52,0.44,0.13
-11.70,4.05,18.03,-0.43,0.51,0.21
-11.18,3.93,17.91,-0.35,0.35,0.45
-10.46,3.09,16.51,-0.52,0.27,0.66
-8.93,1.90,16.16,-0.73,0.31,0.81
-6.76,0.76,16.10,-0.79,0.39,0.78
-3.61,-0.40,16.01,-0.58,0.49,0.67
-1.25,-2.11,16.59,-0.31,0.58,0.49
2.40,-3.65,18.12,-0.18,0.71,0.09
6.96,-2.42,19.41,-0.07,0.62,-0.29
10.79,0.37,20.09,-0.14,0.53,-0.30
13.96,2.65,20.02,-0.10,0.46,-0.09
16.24,3.28,20.96,0.27,0.51,0.23
16.54,0.92,22.62,0.95,0.58,0.39
16.45,-2.51,24.27,1.32,0.61,0.28
15.95,-5.76,26.83,1.03,0.56,0.04
