aX,aY,aZ,gX,gY,gZ
-7.97,-3.58,0.32,-0.06,2.02,2.63
-8.01,-5.51,1.69,0.02,2.29,2.32
-7.90,-6.54,3.43,0.10,2.56,2.01
-7.19,-7.63,5.74,0.22,2.81,1.67
-5.92,-9.00,8.46,0.28,2.98,1.33
-4.77,-9.98,10.29,0.24,3.03,0.98
-3.93,-10.30,11.28,0.10,3.02,0.70
-3.46,-10.37,12.28,-0.05,3.04,0.47
-3.10,-9.94,13.71,-0.07,3.07,0.10
-2.72,-8.88,15.25,-0.02,3.08,-0.26
-2.80,-7.73,16.84,0.07,3.01,-0.57
-3.07,-6.62,17.88,0.12,2.95,-0.89
-2.77,-6.13,19.19,0.11,2.88,-1.15
-2.31,-5.62,20.64,0.00,2.74,-1.40
-2.07,-4.06,22.15,-0.11,2.54,-1.60
-2.07,-1.86,23.52,-0.15,2.28,-1.79
-2.53,0.07,24.88,-0.10,2.06,-2.01
-2.91,1.76,25.76,0.04,1.85,-2.22
-3.26,2.52,26.22,0.18,1.65,-2.44
-3.89,3.98,26.71,0.24,1.44,-2.63
-3.84,6.21,27.71,0.20,1.24,-2.70
-3.73,7.99,29.17,0.17,1.01,-2.69
-3.29,9.59,30.60,0.13,0.66,-2.74
-3.44,11.81,30.79,0.12,0.29,-2.72
-4.01,13.66,30.89,0.22,-0.06,-2.65
-4.45,15.11,30.40,0.35,-0.40,-2.62
-4.35,15.95,29.39,0.40,-0.72,-2.52
-3.64,17.30,28.27,0.39,-1.11,-2.37
-3.77,18.64,26.39,0.32,-1.51,-2.18
-3.57,20.46,24.81,0.26,-1.85,-1.95
-3.31,21.29,22.29,0.31,-2.22,-1.76
-4.29,23.49,18.62,0.37,-2.51,-1.55
-5.51,24.69,14.69,0.63,-2.75,-1.36
-7.31,25.13,9.43,0.75,-2.92,-1.06
-9.40,24.38,4.40,0.80,-2.88,-0.61
-10.49,22.54,0.28,0.72,-2.73,-0.23
-11.15,20.01,-3.44,0.50,-2.38,0.15
-9.80,17.11,-4.34,0.20,-1.82,0.47
-8.25,14.35,-3.56,-0.07,-1.35,0.67
-7.18,12.82,-1.48,-0.28,-0.93,0.82
-6.26,11.80,1.17,-0.34,-0.60,0.89
-5.05,10.57,4.39,-0.37,-0.36,0.94
-3.60,8.97,7.57,-0.37,-0.20,0.95
-2.35,7.94,9.69,-0.31,-0.15,0.91
0.95,9.92,11.24,0.01,-0.17,-0.16
1.32,10.36,11.43,0.02,-0.24,-0.18
1.63,10.69,11.31,0.01,-0.33,-0.15
1.55,11.07,10.73,0.03,-0.44,-0.06
1.50,10.75,9.97,0.07,-0.48,-0.05
1.45,10.33,9.53,0.03,-0.48,-0.05
1.40,10.77,9.23,0.04,-0.46,-0.05
1.13,10.95,8.67,0.11,-0.44,-0.11
1.14,11.27,8.23,0.22,-0.40,-0.15
1.60,11.54,7.67,0.30,-0.43,-0.20
1.34,11.65,6.61,0.35,-0.50,-0.16
0.96,11.85,4.67,0.39,-0.55,-0.06
-0.35,11.38,2.91,0.41,-0.53,0.05
-1.54,10.24,2.00,0.40,-0.40,0.14
-3.10,9.79,0.55,0.32,-0.23,0.16
-3.62,9.36,-0.38,0.17,0.01,0.21
-3.73,8.65,-0.72,0.07,0.27,0.30
-3.71,7.47,-1.10,-0.03,0.47,0.37
-4.51,6.35,-1.64,-0.08,0.67,0.47
-5.48,4.53,-1.37,-0.18,0.95,0.51
-5.89,4.14,0.22,-0.29,1.31,0.50
-5.52,2.90,2.35,-0.25,1.62,0.35
-4.37,1.29,4.71,-0.23,1.86,0.15
-3.35,-0.40,6.20,-0.29,1.99,-0.01
-2.57,-1.62,8.27,-0.41,2.14,-0.20
-1.44,-2.53,10.54,-0.49,2.21,-0.36
-0.84,-3.19,12.82,-0.65,2.16,-0.51
-0.87,-1.37,15.25,-0.81,2.00,-0.60
-1.48,1.15,16.32,-0.77,1.79,-0.68
-2.29,1.89,16.50,-0.58,1.64,-0.75
-2.82,1.44,15.91,-0.48,1.60,-0.87
-2.65,0.48,15.96,-0.47,1.64,-0.99
-2.04,1.12,17.25,-0.47,1.66,-1.14
-1.84,1.75,19.01,-0.45,1.57,-1.22
-1.66,2.88,20.07,-0.39,1.40,-1.36
-2.24,3.98,19.90,-0.18,1.25,-1.58
-1.65,3.23,20.32,-0.04,1.19,-1.92
-1.08,3.78,19.98,-0.04,1.01,-2.16
-1.15,4.24,20.44,-0.20,0.85,-2.21
-1.26,6.47,21.79,-0.47,0.60,-2.18
-2.91,9.55,22.61,-0.52,0.31,-2.09
-4.21,12.02,22.21,-0.31,0.04,-2.09
-5.65,13.50,20.95,-0.00,-0.08,-2.10
-6.07,13.62,20.04,0.32,-0.11,-2.07
-5.71,12.05,20.34,0.39,-0.19,-2.05
-4.93,12.15,21.15,0.11,-0.36,-2.03
-5.07,14.67,21.36,-0.06,-0.61,-1.90
-5.77,16.49,21.53,0.01,-0.87,-1.73
-6.28,16.68,21.36,0.10,-1.06,-1.63
-6.14,17.06,21.01,0.25,-1.24,-1.56
-6.48,16.34,19.58,0.45,-1.46,-1.54
-6.71,16.43,18.45,0.52,-1.60,-1.46
-6.88,16.75,17.62,0.58,-1.74,-1.37
-7.21,17.35,16.71,0.56,-1.88,-1.22
-7.15,18.04,15.87,0.55,-1.98,-1.09
-7.37,18.55,14.60,0.64,-2.09,-1.01
-7.77,19.25,13.23,0.72,-2.14,-0.91
-7.85,20.62,12.13,0.76,-2.17,-0.76
-7.94,22.01,11.35,0.79,-2.24,-0.51
-8.16,22.83,9.98,0.73,-2.30,-0.19
-8.31,22.73,8.47,0.55,-2.26,0.20
-7.83,22.86,7.72,0.43,-2.20,0.53
-8.13,22.70,6.44,0.43,-2.18,0.74
-8.45,23.32,5.39,0.44,-2.09,0.92
-8.79,23.80,4.79,0.52,-2.00,1.14
-8.90,23.76,4.40,0.56,-1.91,1.40
-8.98,22.37,3.79,0.56,-1.81,1.69
-9.24,20.08,2.71,0.44,-1.67,1.96
-8.95,18.29,1.98,0.26,-1.48,2.20
-9.16,16.99,1.36,0.16,-1.30,2.35
-8.91,16.58,1.03,0.08,-1.08,2.44
-8.64,16.69,1.19,0.13,-0.88,2.58
-8.35,15.18,1.13,0.23,-0.73,2.69
-7.99,12.51,0.59,0.17,-0.58,2.80
-7.73,10.35,-0.20,-0.03,-0.44,2.96
-7.65,8.13,-0.83,-0.20,-0.24,3.01
-7.29,7.15,-1.32,-0.29,0.00,2.96
-7.17,6.73,-1.48,-0.18,0.20,2.88
-7.61,4.90,-1.91,-0.05,0.42,2.78
-7.87,3.20,-2.02,-0.07,0.65,2.72
-7.77,1.35,-1.63,-0.15,0.92,2.63
-7.04,-0.29,-0.47,-0.22,1.21,2.49
-6.63,-1.05,1.17,-0.22,1.45,2.31
-6.34,-1.35,2.70,-0.17,1.60,2.13
-6.14,-1.78,3.90,-0.12,1.71,1.94
-6.25,-2.17,4.88,-0.07,1.86,1.81
-6.16,-3.80,6.12,0.09,2.09,1.57
-5.27,-6.25,7.55,0.20,2.30,1.31
-3.84,-8.39,9.47,0.18,2.41,0.98
-3.01,-8.77,10.25,0.09,2.42,0.65
-2.55,-8.13,10.94,0.03,2.44,0.39
-2.10,-7.79,12.10,-0.00,2.42,0.14
-2.11,-6.96,13.26,-0.01,2.40,-0.07
-2.45,-6.32,14.34,0.04,2.40,-0.33
-1.65,-5.00,15.89,0.10,2.42,-0.66
-1.73,-4.67,16.40,0.22,2.37,-0.86
-1.67,-4.15,17.35,0.25,2.35,-1.15
-1.18,-3.30,18.30,0.19,2.24,-1.34
-1.20,-2.34,19.38,0.04,2.13,-1.44
-1.12,-0.44,20.94,-0.03,2.00,-1.56
-1.37,0.29,22.30,0.14,1.80,-1.87
-1.53,1.80,23.12,0.25,1.62,-2.15
-1.53,3.11,23.88,0.32,1.39,-2.31
-1.58,4.04,24.11,0.25,1.13,-2.38
-1.82,5.10,24.05,0.10,0.92,-2.38
-2.15,6.19,24.39,-0.02,0.72,-2.41
-3.39,7.72,24.47,-0.05,0.52,-2.44
-3.87,9.04,25.21,0.06,0.38,-2.60
-3.91,10.88,25.86,0.18,0.20,-2.67
-3.59,12.55,26.70,0.32,-0.04,-2.72
-3.17,13.74,26.79,0.34,-0.38,-2.67
-3.32,15.10,26.36,0.28,-0.77,-2.51
-4.27,16.09,25.18,0.22,-1.15,-2.32
-5.82,17.23,24.17,0.21,-1.43,-2.10
-5.65,18.47,23.23,0.32,-1.65,-2.02
-5.09,19.85,21.73,0.50,-1.96,-1.92
-4.79,21.68,19.23,0.61,-2.29,-1.75
-5.75,24.19,15.52,0.63,-2.60,-1.41
-7.96,25.47,11.97,0.80,-2.75,-1.09
-10.70,25.11,8.01,0.83,-2.75,-0.78
1.09,10.86,9.00,-0.07,-0.50,0.19
1.05,11.58,8.59,-0.13,-0.53,0.26
0.67,11.98,8.16,-0.12,-0.56,0.31
0.46,12.23,7.62,-0.01,-0.56,0.30
0.43,12.22,6.80,0.15,-0.56,0.25
-0.03,12.25,5.35,0.30,-0.53,0.17
-0.12,11.84,4.43,0.45,-0.45,0.17
-0.97,10.95,2.91,0.51,-0.38,0.17
-2.21,9.78,1.71,0.37,-0.27,0.28
-2.42,9.35,0.74,0.14,-0.10,0.43
-2.54,8.84,0.70,-0.08,0.07,0.61
-1.99,8.15,0.87,-0.19,0.23,0.71
-2.38,7.66,0.30,-0.11,0.38,0.71
-3.12,5.96,-0.45,0.14,0.60,0.56
-4.16,4.10,-0.89,0.30,0.93,0.40
-3.86,1.58,0.14,0.28,1.32,0.25
-3.01,-1.37,2.45,0.13,1.64,0.13
-1.60,-3.37,4.02,-0.14,1.74,-0.11
-0.95,-4.25,5.20,-0.48,1.74,-0.21
-1.31,-3.83,6.72,-0.75,1.73,-0.31
-1.27,-2.73,8.45,-0.86,1.78,-0.42
-1.42,-2.66,9.82,-0.83,1.78,-0.63
-1.97,-2.69,10.90,-0.79,1.81,-0.82
-2.48,-1.87,12.03,-0.87,1.89,-0.93
-2.70,-1.16,14.13,-0.94,1.97,-1.01
-3.01,0.69,15.95,-0.88,1.96,-1.14
-3.46,2.80,16.58,-0.64,1.93,-1.27
-3.52,2.18,17.54,-0.29,1.90,-1.40
-2.98,1.32,18.41,-0.24,1.79,-1.61
-2.67,2.28,18.83,-0.32,1.66,-1.72
-2.51,3.10,19.72,-0.40,1.52,-1.68
-2.25,3.51,20.96,-0.49,1.31,-1.67
-2.65,4.10,21.86,-0.56,1.03,-1.83
-3.01,6.37,21.98,-0.51,0.79,-2.00
-3.64,7.94,21.71,-0.25,0.66,-2.19
-3.89,8.53,21.92,0.01,0.58,-2.36
-4.14,9.23,22.31,0.13,0.46,-2.45
-3.57,9.59,23.26,0.07,0.22,-2.43
-3.93,10.68,23.53,-0.12,-0.14,-2.37
-5.22,12.92,22.70,-0.11,-0.49,-2.27
