aX,aY,aZ,gX,gY,gZ
-0.01,0.01,-0.00,-0.00,0.00,0.00
0.01,0.01,0.01,0.00,0.00,0.00
0.02,0.02,0.04,0.00,-0.00,-0.00
0.01,-0.00,-0.02,-0.00,0.00,0.00
0.03,-0.02,0.04,-0.00,0.00,0.00
0.05,0.00,-0.04,-0.00,-0.00,0.00
-0.02,0.02,-0.07,0.00,-0.00,0.00
0.01,-0.01,-0.05,0.00,0.00,0.00
-0.05,0.03,-0.07,-0.00,0.00,0.00
0.02,-0.03,0.02,0.00,0.00,-0.00
0.02,-0.00,-0.03,0.00,0.00,-0.00
0.00,-0.00,-0.02,0.00,0.00,0.00
0.04,-0.01,-0.03,0.00,-0.00,0.00
-0.02,-0.01,0.02,-0.00,0.00,-0.00
0.00,-0.05,-0.00,-0.00,-0.00,-0.00
0.03,-0.00,-0.08,0.00,-0.00,0.00
0.01,0.02,0.02,-0.00,0.00,-0.00
0.03,0.03,0.02,0.00,-0.00,0.00
0.02,-0.02,0.03,-0.00,0.00,-0.00
0.00,0.02,-0.03,0.00,0.00,-0.00
0.02,0.02,0.04,-0.00,0.00,0.00
-0.02,-0.02,0.01,-0.00,-0.00,0.00
-0.01,-0.00,0.05,0.00,0.00,-0.00
-0.02,0.00,0.01,0.00,0.00,-0.00
0.04,-0.02,-0.00,-0.00,0.00,0.00
-0.03,0.02,0.00,0.00,0.00,0.00
0.01,-0.01,-0.02,0.00,-0.00,0.00
-0.01,0.03,-0.06,-0.00,-0.00,0.00
-0.02,-0.03,0.04,0.00,-0.00,0.00
-0.02,-0.01,-0.03,0.00,-0.00,0.00
-0.02,-0.01,-0.02,-0.00,0.00,0.00
0.01,-0.03,0.06,-0.00,0.00,0.00
0.01,0.01,-0.01,0.00,-0.00,0.00
0.00,0.00,0.03,0.00,0.00,0.00
0.02,0.02,0.01,-0.00,-0.00,0.00
-0.02,0.00,-0.04,-0.01,-0.00,0.00
0.01,-0.01,-0.04,-0.00,0.00,0.00
-0.01,-0.01,-0.01,0.00,-0.00,-0.00
0.02,0.03,0.00,0.00,-0.00,-0.00
0.02,-0.01,0.04,-0.00,-0.00,0.00
0.01,0.02,-0.00,0.00,-0.00,0.00
0.00,0.01,0.04,-0.00,-0.00,0.00
0.02,-0.00,-0.03,0.00,0.00,-0.00
-0.00,0.05,-0.02,0.00,-0.00,-0.00
-0.00,-0.04,-0.06,0.00,0.00,-0.00
-0.03,-0.01,0.00,-0.00,0.00,-0.00
0.03,-0.04,0.01,0.00,0.00,-0.00
0.07,-0.02,0.04,0.00,-0.00,-0.00
-0.02,-0.02,0.01,-0.00,-0.00,0.00
0.05,0.02,-0.04,0.00,0.00,-0.00
0.03,-0.03,-0.08,-0.00,-0.00,0.00
0.02,0.00,0.03,-0.00,0.00,0.00
-0.00,0.02,0.03,-0.00,0.00,0.00
0.11,-0.13,-0.03,0.00,0.00,0.00
0.16,-0.11,0.04,0.00,0.00,0.00
0.13,-0.13,-0.03,0.00,0.00,0.00
0.11,-0.17,-0.02,0.00,-0.00,0.00
0.17,-0.15,0.02,0.00,0.00,0.00
0.14,-0.11,0.01,-0.00,0.00,0.00
0.15,-0.10,-0.00,-0.00,0.00,-0.00
0.12,-0.10,-0.01,-0.00,0.00,-0.00
0.15,-0.12,0.01,0.00,0.00,-0.00
0.11,-0.11,-0.05,-0.00,0.00,-0.00
0.14,-0.12,0.04,-0.00,-0.00,0.00
0.14,-0.10,-0.00,-0.00,0.00,0.00
0.11,-0.10,-0.03,0.00,0.00,0.00
0.10,-0.11,-0.01,0.00,-0.00,0.00
0.13,-0.16,-0.05,0.00,0.00,-0.00
0.13,-0.17,0.02,-0.00,-0.00,-0.00
0.16,-0.15,-0.02,-0.00,0.00,0.00
0.15,-0.15,-0.05,0.00,-0.00,0.00
0.12,-0.14,0.00,0.00,0.00,0.00
0.12,-0.12,0.00,-0.00,-0.00,-0.00
0.12,-0.12,-0.06,-0.00,0.00,-0.00
0.13,-0.09,-0.05,-0.00,-0.00,-0.00
0.14,-0.12,0.02,-0.00,-0.00,0.00
0.14,-0.15,-0.05,-0.00,0.00,0.00
0.11,-0.19,0.06,-0.00,-0.00,0.00
0.14,-0.14,0.01,0.00,-0.00,0.00
0.15,-0.14,-0.04,-0.00,0.00,-0.00
0.10,-0.12,0.05,0.00,0.00,-0.00
0.12,-0.15,-0.04,-0.00,0.00,-0.00
0.16,-0.12,-0.04,0.00,0.00,0.00
0.12,-0.11,-0.05,0.00,0.00,0.00
0.11,-0.16,0.01,-0.00,-0.00,0.00
0.12,-0.15,-0.03,-0.00,-0.00,0.00
0.14,-0.13,-0.06,-0.00,0.00,-0.00
0.14,-0.17,-0.03,-0.00,0.00,0.00
0.15,-0.11,0.05,0.00,0.00,0.00
0.11,-0.14,-0.04,0.00,0.00,-0.00
0.14,-0.12,-0.04,-0.00,-0.00,0.00
0.12,-0.09,0.01,0.00,-0.00,-0.00
0.11,-0.16,-0.00,0.00,0.00,0.00
0.13,-0.11,-0.02,0.00,0.00,0.00
0.15,-0.10,0.04,0.00,0.00,-0.00
0.11,-0.16,0.02,-0.00,0.00,0.00
0.12,-0.13,-0.05,0.00,0.00,-0.00
0.16,-0.15,0.01,0.00,0.00,0.00
0.10,-0.15,0.00,0.00,-0.00,0.00
0.16,-0.17,-0.02,0.00,0.00,0.00
0.13,-0.13,-0.01,0.00,-0.00,-0.00
0.14,-0.12,-0.02,0.00,-0.00,-0.00
0.15,-0.15,0.00,-0.00,0.00,0.00
0.11,-0.13,-0.04,-0.00,0.00,0.00
0.14,-0.11,-0.02,-0.00,-0.00,0.00
0.12,-0.11,-0.07,0.00,-0.00,0.00
0.10,-0.11,0.01,0.00,0.00,0.00
0.14,-0.11,0.01,0.00,-0.00,-0.00
0.14,-0.16,0.01,0.00,0.00,-0.00
0.11,-0.10,-0.00,0.00,-0.00,-0.00
0.12,-0.11,0.01,-0.00,-0.00,-0.00
0.11,-0.11,-0.07,0.00,-0.00,0.00
0.12,-0.15,-0.05,-0.00,-0.00,0.00
0.14,-0.14,-0.02,0.00,-0.00,-0.00
0.15,-0.13,0.01,-0.00,0.00,-0.00
0.12,-0.12,-0.02,-0.00,0.00,-0.00
0.11,-0.13,-0.03,0.00,-0.00,0.00
0.10,-0.14,0.02,0.00,0.00,-0.00
0.12,-0.11,0.01,-0.00,0.00,0.00
0.09,-0.13,0.00,-0.00,-0.00,-0.00
0.17,-0.14,0.00,0.00,0.00,-0.00
0.14,-0.13,-0.00,-0.00,-0.00,-0.00
0.16,-0.12,-0.05,0.00,0.00,-0.00
0.16,-0.15,-0.03,0.00,0.00,0.00
0.13,-0.16,-0.04,0.00,-0.00,-0.00
0.15,-0.16,0.01,0.00,0.00,0.00
0.10,-0.18,0.01,0.00,0.00,-0.00
0.11,-0.13,0.02,0.00,0.00,0.00
0.14,-0.13,-0.01,-0.00,0.00,-0.00
0.12,-0.14,-0.02,-0.00,0.00,-0.00
0.14,-0.16,0.05,-0.00,0.00,0.00
0.14,-0.18,-0.07,-0.00,0.00,-0.00
0.12,-0.09,0.01,-0.00,0.00,-0.00
0.12,-0.10,-0.02,-0.00,0.00,0.00
0.12,-0.17,-0.06,-0.00,-0.00,0.00
0.13,-0.09,0.02,-0.00,0.00,0.00
0.12,-0.11,-0.00,-0.00,-0.00,0.00
0.14,-0.11,-0.04,-0.00,-0.00,0.00
0.12,-0.08,-0.05,0.00,0.00,0.00
0.16,-0.14,-0.01,0.00,0.00,-0.00
0.11,-0.11,-0.00,-0.00,0.00,-0.00
0.13,-0.12,0.01,-0.00,0.00,0.00
0.10,-0.15,-0.02,0.00,0.00,0.00
0.10,-0.15,-0.04,0.00,-0.00,-0.00
0.15,-0.16,0.01,-0.00,0.00,0.00
0.13,-0.14,-0.07,-0.00,0.00,-0.00
0.14,-0.11,0.01,-0.00,-0.00,0.00
0.13,-0.13,-0.02,0.00,0.00,-0.00
0.11,-0.11,-0.03,0.00,-0.00,0.00
0.13,-0.13,-0.01,0.00,0.00,0.00
0.14,-0.10,-0.06,0.00,-0.00,-0.00
0.10,-0.16,-0.02,0.00,0.00,0.00
0.10,-0.10,-0.00,-0.00,0.00,0.00
0.11,-0.14,-0.01,0.00,-0.00,0.00
0.14,-0.12,0.00,-0.00,0.00,0.00
0.12,-0.12,-0.01,-0.01,-0.00,0.00
0.14,-0.12,0.05,0.00,-0.00,0.00
0.11,-0.13,0.00,-0.00,0.00,0.00
0.08,-0.15,-0.03,-0.00,-0.00,-0.00
0.14,-0.15,0.00,-0.00,0.00,0.00
0.12,-0.17,-0.01,0.00,0.00,-0.00
0.08,-0.15,-0.03,0.00,0.00,0.00
0.09,-0.13,-0.08,0.00,0.00,-0.00
0.10,-0.14,0.01,-0.00,-0.00,0.00
0.11,-0.11,-0.01,0.00,-0.01,0.00
0.14,-0.13,0.00,-0.00,-0.00,-0.00
0.09,-0.12,0.05,0.00,0.00,-0.00
0.13,-0.10,-0.04,0.00,-0.00,0.00
0.12,-0.12,-0.00,0.00,-0.00,0.00
0.13,-0.12,0.01,0.00,-0.00,0.00
0.17,-0.13,-0.03,-0.00,-0.00,0.00
0.10,-0.18,-0.03,0.00,0.00,0.00
0.12,-0.14,0.02,-0.00,0.00,-0.00
-0.59,-0.82,0.43,0.05,-0.11,0.00
-0.68,-0.88,0.30,0.01,-0.11,0.00
-0.66,-0.89,0.07,-0.01,-0.11,-0.01
-0.54,-0.81,-0.22,0.01,-0.09,-0.01
-0.50,-0.88,-0.14,0.00,-0.06,0.01
-0.66,-0.93,0.01,0.01,-0.05,0.01
-0.66,-0.94,-0.03,0.01,-0.05,0.00
-0.64,-0.79,-0.07,0.00,-0.05,0.01
-0.79,-0.85,0.01,0.01,-0.04,0.00
-0.81,-0.93,0.05,0.01,-0.03,0.00
-0.62,-0.94,0.03,-0.00,-0.02,0.01
-0.61,-0.88,0.04,-0.02,-0.00,0.01
-0.65,-0.92,-0.01,-0.02,0.00,0.00
-0.60,-0.91,-0.04,-0.01,0.00,-0.00
-0.59,-0.74,-0.18,0.00,0.00,0.01
-0.67,-0.74,0.06,0.02,0.01,0.02
-0.79,-0.86,0.15,0.02,0.00,0.03
-0.70,-0.85,-0.01,0.03,0.01,0.03
-0.72,-0.88,0.11,0.02,0.02,0.02
-0.80,-0.90,0.12,0.01,0.02,0.01
-0.82,-0.96,0.16,-0.01,0.01,-0.01
-0.74,-0.86,0.12,-0.02,0.01,-0.02
-0.69,-0.90,-0.06,0.01,0.01,-0.02
-0.66,-0.93,-0.05,-0.01,0.02,-0.02
-0.69,-0.91,0.04,-0.02,0.05,-0.00
-0.62,-0.95,0.06,-0.03,0.06,-0.00
-0.51,-0.89,-0.07,-0.03,0.07,0.00
-0.49,-0.82,-0.15,-0.02,0.07,0.00
-0.56,-0.73,-0.01,0.01,0.06,0.01
-0.62,-0.76,0.13,0.03,0.04,0.00
-0.64,-0.91,0.24,0.03,0.02,-0.00
-0.56,-0.98,0.13,0.03,-0.00,-0.01
-0.41,-0.93,0.06,0.01,-0.02,-0.00
-0.53,-0.84,0.04,0.02,-0.04,-0.00
-0.62,-0.92,0.24,0.03,-0.06,-0.00
-0.52,-0.88,0.19,0.02,-0.06,0.01
-0.60,-0.84,0.05,-0.00,-0.05,0.02
-0.71,-0.87,0.11,0.00,-0.04,0.01
-0.60,-0.92,0.01,-0.00,-0.03,0.02
-0.67,-0.85,-0.04,-0.02,-0.01,0.01
-0.68,-0.88,-0.06,-0.02,-0.00,0.01
-0.73,-0.85,-0.10,-0.01,-0.00,0.00
